21,Fundamentals of Wavelets,,21,21,21,,
22,Data Smart,,22,21,22,,
23,God Created the Integers,,23,22,23,,
24,Superfreakonomics,,24,23,24,,
25,Orientalism,,25,22,25,,
26,"Nature of Statistical Learning Theory, The",,26,24,22,,
27,Integration of the Indian States,,27,25,25,,
28,"Drunkard's Walk, The",,28,22,26,,
29,Image Processing & Mathematical Morphology,,29,26,21,,
30,How to Think Like Sherlock Holmes,,30,22,27,,
31,Data Scientists at Work,,31,27,22,,
32,Slaughterhouse Five,,32,28,28,,
33,Birth of a Theorem,,33,29,23,,
34,Structure & Interpretation of Computer Programs,,34,30,29,,
35,"Age of Wrath, The",,35,22,25,,
36,"Trial, The",,36,28,28,,
37,Statistical Decision Theory',,37,30,22,,
38,Data Mining Handbook,,38,27,22,,
39,"New Machiavelli, The",,39,22,28,,
40,Physics & Philosophy,,40,22,26,,
41,Making Software,,41,31,29,,
42,"Analysis, Vol I",,42,32,23,,
43,Machine Learning for Hackers,,43,31,22,,
44,"Signal and the Noise, The",,44,22,22,,
45,Python for Data Analysis,,45,31,22,,
46,Introduction to Algorithms,,46,30,29,,
47,"Beautiful and the Damned, The",,47,22,30,,
48,"Outsider, The",,48,22,28,,
49,"Complete Sherlock Holmes, The - Vol I",,49,28,28,,
50,"Complete Sherlock Holmes, The - Vol II",,49,28,28,,
51,"Wealth of Nations, The",,50,28,24,,
52,"Pillars of the Earth, The",,51,28,28,,
53,Mein Kampf,,52,33,30,,
54,"Tao of Physics, The",,53,22,26,,
55,Surely You're Joking Mr Feynman,,54,28,26,,
56,"Farewell to Arms, A",,55,33,28,,
57,"Veteran, The",,56,34,28,,
58,False Impressions,,57,35,28,,
59,"Last Lecture, The",,58,36,30,,
60,Return of the Primitive,,59,22,31,,
61,Jurassic Park,,60,28,28,,
62,"Russian Journal, A",,61,22,30,,
63,Tales of Mystery and Imagination,,62,23,28,,
64,Freakonomics,,24,22,24,,
65,"Hidden Connections, The",,53,23,26,,
66,"Story of Philosophy, The",,63,37,31,,
67,Asami Asami,,64,38,28,,
68,Journal of a Novel,,61,22,28,,
69,Once There Was a War,,61,22,30,,
70,"Moon is Down, The",,61,22,28,,
71,"Brethren, The",,65,28,28,,
72,In a Free State,,66,33,28,,
73,Catch 22,,67,28,28,,
74,"Complete Mastermind, The",,68,39,30,,
75,Dylan on Dylan,,69,28,30,,
76,Soft Computing & Intelligent Systems,,70,40,22,,
77,Textbook of Economic Theory,,71,41,24,,
78,Econometric Analysis,,72,41,24,,
79,Learning OpenCV,,73,31,22,,
80,Data Structures Using C & C++,,74,42,29,,
81,"Computer Vision, A Modern Approach",,75,41,22,,
82,Principles of Communication Systems,,76,43,29,,
83,Let Us C,,77,42,29,,
84,"Amulet of Samarkand, The",,78,28,28,,
85,Crime and Punishment,,79,22,28,,
86,Angels & Demons,,80,28,28,,
87,"Argumentative Indian, The",,81,44,30,,
88,Sea of Poppies,,82,22,28,,
89,"Idea of Justice, The",,81,22,30,,
90,"Raisin in the Sun, A",,83,22,28,,
91,All the President's Men,,84,28,25,,
92,"Prisoner of Birth, A",,57,35,28,,
93,Scoop!,,85,23,25,,
94,Ahe Manohar Tari,,86,38,30,,
95,"Last Mughal, The",,87,22,25,,
96,"Social Choice & Welfare, Vol 39 No. 1",,88,24,24,,
97,Radiowaril Bhashane & Shrutika,,64,38,30,,
98,Gun Gayin Awadi,,64,38,30,,
99,Aghal Paghal,,64,38,30,,
100,Maqta-e-Ghalib,,89,38,28,,
101,Beyond Degrees,,90,23,30,,
102,Manasa,,91,38,30,,
103,India from Midnight to Milennium,,92,22,25,,
104,"World's Greatest Trials, The",,90,45,25,,
105,"Great Indian Novel, The",,92,22,28,,
106,O Jerusalem!,,93,46,25,,
107,"City of Joy, The",,93,46,28,,
108,Freedom at Midnight,,93,46,25,,
109,"Winter of Our Discontent, The",,61,22,28,,
110,On Education,,94,47,31,,
111,Free Will,,95,48,31,,
112,Bookless in Baghdad,,92,22,30,,
113,"Case of the Lame Canary, The",,96,45,28,,
114,"Theory of Everything, The",,23,49,26,,
115,New Markets & Other Essays,,97,22,24,,
116,Electric Universe,,98,22,26,,
117,"Hunchback of Notre Dame, The",,99,28,28,,
118,Burning Bright,,61,22,28,,
119,"Age of Discontuinity, The",,97,28,24,,
120,Doctor in the Nude,,100,22,28,,
121,Down and Out in Paris & London,,101,22,30,,
122,Identity & Violence,,81,22,31,,
123,Beyond the Three Seas,,87,28,25,,
124,"World's Greatest Short Stories, The",,90,49,28,,
125,Talking Straight,,102,45,30,,
126,"Maugham's Collected Short Stories, Vol 3",,103,50,28,,
127,"Phantom of Manhattan, The",,56,45,28,,
128,Ashenden of The British Agent,,103,50,28,,
129,Zen & The Art of Motorcycle Maintenance,,104,50,31,,
130,"Great War for Civilization, The",,105,23,25,,
131,We the Living,,59,22,28,,
132,"Artist and the Mathematician, The",,106,51,26,,
133,History of Western Philosophy,,94,47,31,,
134,Selected Short Stories,,90,49,28,,
135,Rationality & Freedom,,81,24,24,,
136,Clash of Civilizations and Remaking of the World Order,,107,52,25,,
137,Uncommon Wisdom,,53,53,30,,
138,One,,108,54,30,,
139,Karl Marx Biography,,90,45,30,,
140,To Sir With Love,,109,22,28,,
141,Half A Life,,110,45,28,,
142,"Discovery of India, The",,111,45,25,,
143,Apulki,,64,45,30,,
144,Unpopular Essays,,94,45,31,,
145,"Deceiver, The",,56,45,28,,
146,Veil: Secret Wars of the CIA,,84,45,25,,
147,Char Shabda,,64,45,30,,
148,Rosy is My Relative,,112,45,28,,
149,"Moon and Sixpence, The",,103,45,28,,
150,Political Philosophers,,90,45,31,,
151,"Short History of the World, A",,113,45,25,,
152,"Trembling of a Leaf, The",,103,45,28,,
153,Doctor on the Brain,,100,45,28,,
154,Simpsons & Their Mathematical Secrets,,114,45,26,,
155,Pattern Classification,,115,45,22,,
156,From Beirut to Jerusalem,,116,45,25,,
157,"Code Book, The",,114,45,26,,
158,"Age of the Warrior, The",,105,45,25,,
159,Final Crisis,,90,45,32,,
160,"Killing Joke, The",,90,45,32,,
161,Flashpoint,,90,45,32,,
162,Batman Earth One,,90,45,32,,
163,Crisis on Infinite Earths,,90,45,32,,
164,"Numbers Behind Numb3rs, The",,117,45,26,,
165,Superman Earth One - 1,,90,45,32,,
166,Superman Earth One - 2,,90,45,32,,
167,Justice League: Throne of Atlantis,,90,45,32,,
168,Justice League: The Villain's Journey,,90,45,32,,
169,"Death of Superman, The",,90,45,32,,
170,History of the DC Universe,,90,45,32,,
171,Batman: The Long Halloween,,90,45,32,,
172,"Life in Letters, A",,61,45,30,,
173,"Information, The",,118,45,26,,
174,"Journal of Economics, vol 106 No 3",,90,45,24,,
175,Elements of Information Theory,,119,45,22,,
176,Power Electronics - Rashid,,120,45,29,,
177,Power Electronics - Mohan,,121,45,29,,
178,Neural Networks,,122,45,22,,
179,"Grapes of Wrath, The",,61,45,28,,
180,Vyakti ani Valli,,64,45,30,,
181,Statistical Learning Theory,,26,45,22,,
182,Empire of the Mughal - The Tainted Throne,,123,45,25,,
183,Empire of the Mughal - Brothers at War,,123,45,25,,
184,Empire of the Mughal - Ruler of the World,,123,45,25,,
185,Empire of the Mughal - The Serpent's Tooth,,123,45,25,,
186,Empire of the Mughal - Raiders from the North,,123,45,25,,
187,Mossad,,124,45,25,,
188,Jim Corbett Omnibus,,125,45,30,,
189,20000 Leagues Under the Sea,,126,45,28,,
190,Batatyachi Chal,,127,45,28,,
191,Hafasavnuk,,127,45,28,,
192,Urlasurla,,127,45,28,,
193,Pointers in C,,77,45,29,,
194,"Cathedral and the Bazaar, The",,128,45,29,,
195,Design with OpAmps,,129,45,29,,
196,Think Complexity,,130,45,22,,
197,"Devil's Advocate, The",,131,45,28,,
198,Ayn Rand Answers,,59,45,31,,
199,Philosophy: Who Needs It,,59,45,31,,
200,"World's Great Thinkers, The",,90,45,31,,
201,Data Analysis with Open Source Tools,,132,45,22,,
202,Broca's Brain,,133,45,26,,
203,Men of Mathematics,,134,45,23,,
204,Oxford book of Modern Science Writing,,135,45,26,,
205,"Justice, Judiciary and Democracy",,136,45,31,,
206,"Arthashastra, The",,137,45,31,,
207,We the People,,138,45,31,,
208,We the Nation,,138,45,31,,
209,"Courtroom Genius, The",,139,45,30,,
210,Dongri to Dubai,,140,45,30,,
211,"History of England, Foundation",,141,45,25,,
212,City of Djinns,,87,45,25,,
213,India's Legal System,,142,45,30,,
214,More Tears to Cry,,143,45,28,,
215,"Ropemaker, The",,144,45,28,,
216,Angels & Demons,,80,45,28,,
217,"Judge, The",,90,45,28,,
218,"Attorney, The",,90,45,28,,
219,"Prince, The",,145,45,31,,
220,Eyeless in Gaza,,146,45,28,,
221,Tales of Beedle the Bard,,147,45,28,,
222,Girl with the Dragon Tattoo,,148,45,28,,
223,Girl who kicked the Hornet's Nest,,148,45,28,,
224,Girl who played with Fire,,148,45,28,,
225,Batman Handbook,,90,45,32,,
226,Murphy's Law,,90,45,30,,
227,Structure and Randomness,,42,45,23,,
228,Image Processing with MATLAB,,149,45,21,,
229,Animal Farm,,101,45,28,,
230,"Idiot, The",,79,45,28,,
231,"Christmas Carol, A",,150,45,28,,